"Channel","Sessions","Engaged Sessions","Engagement Rate","Average Engagement Time per Session","Events per Session","Event Count","Key Events","Session Key Event Rate","Total Revenue"
"Total","99052","86353","87.18%","3m 15s","32.17","3186513","1817970","93.06%","24.84"
"Direct","71315","66630","93.43%","3m 51s","36.25","2584939","1482396","99.33%","18.76"
"Paid Search","17755","16589","93.43%","1m 20s","24.24","430412","247413","99.86%","1.64"
"Unassigned","9341","252","2.7%","1m 23s","5.78","53991","21860","7.16%","-1.54"
"Organic Search","4028","3814","94.69%","2m 43s","28.80","116000","66024","99.16%","5.98"
"Referral","170","168","98.82%","6s","5.74","976","141","82.94%","0.00"
"Cross-network","12","12","100%","24s","7.75","93","69","100%","0.00"
"Affiliates","4","4","100%","27s","22.25","89","55","100%","0.00"
"Display","1","1","100%","8s","13.00","13","12","100%","0.00"
